Entity,Code,Year,Eutrophying emissions per kilogram (kgPO₄eq per kilogram)
Apples,,2018,1.45
Bananas,,2018,3.29
Barley,,2018,2.33
Beef (beef herd),,2018,301.41
Beef (dairy herd),,2018,365.29
Beet Sugar,,2018,5.41
Berries & Grapes,,2018,6.12
Brassicas,,2018,5.01
Cane Sugar,,2018,16.92
Cassava,,2018,0.69
Cheese,,2018,98.37
Citrus Fruit,,2018,2.24
Coffee,,2018,110.52
Dark Chocolate,,2018,87.08
Eggs,,2018,21.76
Fish (farmed),,2018,235.12
Groundnuts,,2018,14.14
Lamb & Mutton,,2018,97.13
Maize,,2018,4.03
Milk,,2018,10.65
Nuts,,2018,19.15
Oatmeal,,2018,11.23
Olive Oil,,2018,37.26
Onions & Leeks,,2018,3.24
Other Fruit,,2018,2.43
Other Pulses,,2018,17.08
Other Vegetables,,2018,2.27
Palm Oil,,2018,10.67
Peas,,2018,7.52
Pig Meat,,2018,76.38
Potatoes,,2018,3.48
Poultry Meat,,2018,48.7
Prawns (farmed),,2018,227.22
Rapeseed Oil,,2018,19.19
Rice,,2018,35.07
Root Vegetables,,2018,1.61
Soybean Oil,,2018,11.69
Soymilk,,2018,1.06
Sunflower Oil,,2018,50.66
Tofu (soybeans),,2018,6.16
Tomatoes,,2018,7.51
Wheat & Rye,,2018,7.16
Wine,,2018,4.57
